x;u(x);du(x);ddu(x);p(x);q(x);f(x);fc(x)
59.6903;1.49976e-32;-2.10237e-16;1.47356;2.39107;3.1445;-3.52338;-361.716;
59.6904;7.3686e-09;-0.000147364;1.47356;2.39119;3.1441;-3.52348;-361.716;
59.6905;2.94744e-08;-0.000294728;1.47356;2.39132;3.1437;-3.52357;-361.716;
59.6906;6.63174e-08;-0.000442092;1.47356;2.39145;3.1433;-3.52367;-361.716;
59.6907;1.17898e-07;-0.000589456;1.47356;2.39158;3.1429;-3.52377;-361.716;
59.6908;1.84215e-07;-0.00073682;1.47356;2.3917;3.1425;-3.52386;-361.716;
59.6909;2.6527e-07;-0.000884184;1.47356;2.39183;3.1421;-3.52396;-361.715;
59.691;3.61061e-07;-0.00103155;1.47356;2.39196;3.1417;-3.52406;-361.715;
59.6911;4.7159e-07;-0.00117891;1.47356;2.39209;3.1413;-3.52416;-361.715;
59.6912;5.96857e-07;-0.00132628;1.47356;2.39221;3.1409;-3.52425;-361.715;
59.6913;7.3686e-07;-0.00147364;1.47356;2.39234;3.14051;-3.52435;-361.715;
59.6914;8.916e-07;-0.001621;1.47356;2.39247;3.14011;-3.52445;-361.715;
59.6915;1.06108e-06;-0.00176837;1.47356;2.39259;3.13971;-3.52454;-361.715;
59.6916;1.24529e-06;-0.00191573;1.47356;2.39272;3.13931;-3.52464;-361.715;
59.6917;1.44425e-06;-0.00206309;1.47355;2.39285;3.13891;-3.52474;-361.714;
59.6918;1.65793e-06;-0.00221046;1.47355;2.39297;3.13851;-3.52483;-361.714;
59.6919;1.88636e-06;-0.00235782;1.47355;2.3931;3.13811;-3.52493;-361.714;
59.692;2.12952e-06;-0.00250518;1.47355;2.39323;3.13771;-3.52503;-361.714;
59.6921;2.38742e-06;-0.00265255;1.47355;2.39335;3.13731;-3.52513;-361.714;
59.6922;2.66006e-06;-0.00279991;1.47355;2.39348;3.13692;-3.52522;-361.713;
59.6923;2.94744e-06;-0.00294727;1.47355;2.3936;3.13652;-3.52532;-361.713;
59.6924;3.24955e-06;-0.00309464;1.47355;2.39373;3.13612;-3.52542;-361.713;
59.6925;3.5664e-06;-0.003242;1.47355;2.39386;3.13572;-3.52551;-361.713;
59.6926;3.89798e-06;-0.00338936;1.47355;2.39398;3.13532;-3.52561;-361.712;
59.6927;4.24431e-06;-0.00353673;1.47355;2.39411;3.13492;-3.52571;-361.712;
59.6928;4.60537e-06;-0.00368409;1.47355;2.39423;3.13452;-3.5258;-361.712;
59.6929;4.98117e-06;-0.00383145;1.47354;2.39436;3.13413;-3.5259;-361.711;
59.693;5.3717e-06;-0.00397881;1.47354;2.39448;3.13373;-3.52599;-361.711;
59.6931;5.77697e-06;-0.00412618;1.47354;2.39461;3.13333;-3.52609;-361.711;
59.6932;6.19698e-06;-0.00427354;1.47354;2.39474;3.13293;-3.52619;-361.71;
59.6933;6.63173e-06;-0.0044209;1.47354;2.39486;3.13253;-3.52628;-361.71;
59.6934;7.08121e-06;-0.00456826;1.47354;2.39499;3.13214;-3.52638;-361.709;
59.6935;7.54543e-06;-0.00471562;1.47354;2.39511;3.13174;-3.52648;-361.709;
59.6936;8.02439e-06;-0.00486298;1.47354;2.39524;3.13134;-3.52657;-361.709;
59.6937;8.51808e-06;-0.00501035;1.47353;2.39536;3.13094;-3.52667;-361.708;
59.6938;9.02651e-06;-0.00515771;1.47353;2.39549;3.13054;-3.52677;-361.708;
59.6939;9.54968e-06;-0.00530507;1.47353;2.39561;3.13015;-3.52686;-361.707;
59.694;1.00876e-05;-0.00545243;1.47353;2.39574;3.12975;-3.52696;-361.707;
59.6941;1.06402e-05;-0.00559979;1.47353;2.39586;3.12935;-3.52705;-361.706;
59.6942;1.12076e-05;-0.00574715;1.47353;2.39598;3.12895;-3.52715;-361.706;
59.6943;1.17897e-05;-0.00589451;1.47352;2.39611;3.12856;-3.52725;-361.705;
59.6944;1.23866e-05;-0.00604187;1.47352;2.39623;3.12816;-3.52734;-361.705;
59.6945;1.29982e-05;-0.00618923;1.47352;2.39636;3.12776;-3.52744;-361.704;
59.6946;1.36245e-05;-0.00633659;1.47352;2.39648;3.12737;-3.52753;-361.703;
59.6947;1.42655e-05;-0.00648395;1.47352;2.39661;3.12697;-3.52763;-361.703;
59.6948;1.49213e-05;-0.00663131;1.47352;2.39673;3.12657;-3.52773;-361.702;
59.6949;1.55919e-05;-0.00677867;1.47351;2.39685;3.12617;-3.52782;-361.702;
59.695;1.62772e-05;-0.00692603;1.47351;2.39698;3.12578;-3.52792;-361.701;
59.6951;1.69772e-05;-0.00707339;1.47351;2.3971;3.12538;-3.52801;-361.7;
59.6952;1.76919e-05;-0.00722075;1.47351;2.39723;3.12498;-3.52811;-361.7;
