x;u(x);du(x);ddu(x);p(x);q(x);f(x);fc(x)
59.6903;1.49976e-32;-2.10237e-16;1.47356;2.39107;3.1445;-3.52338;-361.716;
59.7948;0.00803521;-0.153266;1.44988;2.4801;2.76302;-3.60995;-354.503;
59.8994;0.0318826;-0.301606;1.3796;2.48037;2.45673;-3.66596;-333.095;
60.004;0.0707756;-0.440252;1.26498;2.39799;2.21687;-3.67143;-298.181;
60.1085;0.123464;-0.564747;1.1097;2.24645;2.02968;-3.58728;-250.882;
60.2131;0.188255;-0.671092;0.918749;2.04541;1.8842;-3.36692;-192.72;
60.3177;0.263066;-0.755867;0.698273;1.81892;1.77499;-2.96846;-125.563;
60.4223;0.345492;-0.816348;0.455355;1.59331;1.70258;-2.36489;-51.5694;
60.5268;0.432883;-0.85059;0.197801;1.39483;1.67332;-1.55022;26.8819;
60.6314;0.522432;-0.857494;-0.066111;1.2473;1.69932;-0.540206;107.27;
60.736;0.61126;-0.836838;-0.327898;1.17002;1.79763;0.632012;187.01;
60.8405;0.696513;-0.789285;-0.579146;1.17602;1.98713;1.92264;263.541;
60.9451;0.775448;-0.716363;-0.811779;1.27092;2.28015;3.2807;334.401;
61.0497;0.845531;-0.620417;-1.01832;1.45241;2.66768;4.64246;397.314;
61.1543;0.904508;-0.504531;-1.19213;1.71049;3.10329;5.91818;450.258;
61.2588;0.950484;-0.372428;-1.32763;2.02831;3.49983;6.98669;491.53;
61.3634;0.981981;-0.228355;-1.42046;2.38371;3.75412;7.72059;519.805;
61.468;0.997987;-0.0769427;-1.46763;2.75119;3.79553;8.0431;534.173;
61.5725;0.997987;0.0769427;-1.46763;3.10416;3.6259;7.97716;534.173;
61.6771;0.981981;0.228355;-1.42046;3.41733;3.3174;7.63886;519.805;
61.7817;0.950484;0.372428;-1.32763;3.66897;2.97014;7.17467;491.53;
61.8863;0.904508;0.504531;-1.19213;3.84279;2.66502;6.69189;450.258;
61.9908;0.845531;0.620417;-1.01832;3.92947;2.4419;6.2271;397.314;
62.0954;0.775448;0.716363;-0.811779;3.92745;2.30495;5.75628;334.401;
62.2;0.696513;0.789285;-0.579146;3.84305;2.23918;5.22428;263.541;
62.3045;0.61126;0.836838;-0.327898;3.68993;2.22476;4.57329;187.01;
62.4091;0.522432;0.857494;-0.066111;3.4879;2.24478;3.76296;107.27;
62.5137;0.432883;0.85059;0.197801;3.26109;2.28816;2.78184;26.8819;
62.6183;0.345492;0.816348;0.455355;3.03586;2.35021;1.65149;-51.5694;
62.7228;0.263066;0.755867;0.698273;2.83843;2.43274;0.424241;-125.563;
62.8274;0.188255;0.671092;0.918749;2.69253;2.54408;-0.824717;-192.72;
62.932;0.123464;0.564747;1.1097;2.6173;2.69846;-2.00926;-250.882;
63.0365;0.0707756;0.440252;1.26498;2.62561;2.91279;-3.04562;-298.181;
63.1411;0.0318826;0.301606;1.3796;2.72285;3.19827;-3.86355;-333.095;
63.2457;0.00803521;0.153266;1.44988;2.90653;3.54547;-4.41286;-354.503;
