h;rhc
0.104571;1.1515
0.0508333;1.16639
0.0338889;1.16905
0.0252414;1.17028
0.020221;1.17065
0.016789;1.17092
0.0143529;1.17113
0.0125773;1.17122
0.0111585;1.17129
0.0100549;1.17132
0.00912718;1.17137
0.00835616;1.17139
0.00772152;1.17142
0.00716243;1.17144
0.00669104;1.17144
0.00626712;1.17146
0.00589372;1.17146
0.00557078;1.17147
0.00527378;1.17148
0.0050137;1.17149
0.00477184;1.17149
0.00455224;1.17149
0.00435714;1.1715
0.00417332;1.1715
0.00400876;1.1715
0.00385263;1.17151
0.00370821;1.17151
0.00357771;1.17151
0.00345283;1.17151
0.00333942;1.17151
0.00323036;1.17151
0.00312821;1.17152
0.00303483;1.17152
0.00294449;1.17152
0.00286161;1.17152
0.00278116;1.17152
0.0027051;1.17152
0.00263499;1.17152
0.00256662;1.17152
0.00250342;1.17152
0.00244163;1.17152
0.00238281;1.17153
0.00232824;1.17153
0.0022747;1.17153
0.00222492;1.17153
0.00217598;1.17153
0.00212914;1.17153
0.00208547;1.17153
0.00204241;1.17153
0.00200219;1.17153
0.00196247;1.17153
0.00192429;1.17153
0.00188854;1.17153
0.00185316;1.17153
0.00181999;1.17153
0.00178711;1.17153
0.0017554;1.17153
0.0017256;1.17153
0.00169601;1.17153
0.00166819;1.17153
0.00164052;1.17153
0.00161376;1.17153
0.00158854;1.17153
0.00156343;1.17153
0.00153976;1.17153
0.00151616;1.17153
0.00149327;1.17153
0.00147165;1.17153
0.00145008;1.17153
0.00142969;1.17153
0.00140932;1.17153
0.00138952;1.17153
0.00137079;1.17153
0.00135205;1.17153
0.00133431;1.17153
0.00131655;1.17153
0.00129925;1.17153
0.00128286;1.17153
0.00126644;1.17153
0.00125085;1.17153
0.00123523;1.17153
0.00122;1.17153
0.00120553;1.17153
0.00119102;1.17153
0.00117723;1.17153
0.00116338;1.17153
0.00114986;1.17153
0.001137;1.17153
0.00112408;1.17153
0.00111179;1.17154
0.00109943;1.17154
0.00108734;1.17154
0.00107584;1.17153
0.00106426;1.17154
0.00105324;1.17154
0.00104214;1.17154
0.00103128;1.17154
0.00102092;1.17154
0.00101049;1.17154
0.00100055;1.17154
