h;rhf
0.104571;1.13994
0.0508333;0.773591
0.0338889;0.378824
0.0252414;0.201452
0.020221;0.121205
0.016789;0.0782559
0.0143529;0.0540068
0.0125773;0.0396451
0.0111585;0.0301772
0.0100549;0.0240386
0.00912718;0.0196999
0.00835616;0.0166557
0.00772152;0.0145219
0.00716243;0.0129089
0.00669104;0.0117324
0.00626712;0.0108072
0.00589372;0.0100874
0.00557078;0.00952968
0.00527378;0.0090638
0.0050137;0.00868838
0.00477184;0.00836292
0.00455224;0.00808435
0.00435714;0.0078483
0.00417332;0.00763411
0.00400876;0.0074479
0.00385263;0.00727508
0.00370821;0.00711777
0.00357771;0.00697716
0.00345283;0.00684346
0.00333942;0.0067224
0.00323036;0.00660601
0.00312821;0.00649673
0.00303483;0.00639642
0.00294449;0.00629882
0.00286161;0.00620866
0.00278116;0.00612045
0.0027051;0.00603633
0.00263499;0.00595806
0.00256662;0.00588099
0.00250342;0.00580904
0.00244163;0.00573796
0.00238281;0.00566959
0.00232824;0.00560549
0.0022747;0.00554192
0.00222492;0.00548219
0.00217598;0.00542284
0.00212914;0.00536544
0.00208547;0.00531135
0.00204241;0.00525747
0.00200219;0.00520662
0.00196247;0.0051559
0.00192429;0.00510665
0.00188854;0.00506007
0.00185316;0.00501352
0.00181999;0.00496946
0.00178711;0.00492536
0.0017554;0.00488243
0.0017256;0.00484172
0.00169601;0.00480092
0.00166819;0.00476221
0.00164052;0.00472338
0.00161376;0.00468548
0.00158854;0.00464948
0.00156343;0.00461332
0.00153976;0.00457893
0.00151616;0.00454438
0.00149327;0.0045106
0.00147165;0.00447844
0.00145008;0.0044461
0.00142969;0.00441528
0.00140932;0.00438427
0.00138952;0.0043539
0.00137079;0.00432495
0.00135205;0.00429578
0.00133431;0.00426796
0.00131655;0.00423991
0.00129925;0.00421242
0.00128286;0.00418616
0.00126644;0.00415969
0.00125085;0.0041344
0.00123523;0.00410888
0.00122;0.00408383
0.00120553;0.00405988
0.00119102;0.0040357
0.00117723;0.00401259
0.00116338;0.00398923
0.00114986;0.00396628
0.001137;0.00394433
0.00112408;0.00392213
0.00111179;0.00390089
0.00109943;0.00387942
0.00108734;0.00385829
0.00107584;0.00383806
0.00106426;0.0038176
0.00105324;0.00379799
0.00104214;0.00377815
0.00103128;0.00375862
0.00102092;0.00373991
0.00101049;0.00372096
0.00100055;0.00370279
