h;rhf
0.104571;1.13785
0.0508333;0.773117
0.0338889;0.378603
0.0252414;0.201342
0.020221;0.121172
0.016789;0.0782922
0.0143529;0.0541089
0.0125773;0.0398091
0.0111585;0.0304025
0.0100549;0.0243199
0.00912718;0.0200331
0.00835616;0.0170337
0.00772152;0.014936
0.00716243;0.0133522
0.00669104;0.0121967
0.00626712;0.0112867
0.00589372;0.0105766
0.00557078;0.010024
0.00527378;0.0095601
0.0050137;0.0091841
0.00477184;0.00885617
0.00455224;0.00857377
0.00435714;0.00833308
0.00417332;0.00811347
0.00400876;0.00792159
0.00385263;0.00774268
0.00370821;0.00757915
0.00357771;0.00743245
0.00345283;0.00729252
0.00333942;0.00716547
0.00323036;0.00704302
0.00312821;0.00692781
0.00303483;0.00682187
0.00294449;0.00671863
0.00286161;0.00662314
0.00278116;0.0065296
0.0027051;0.0064403
0.00263499;0.00635716
0.00256662;0.00627522
0.00250342;0.00619868
0.00244163;0.00612302
0.00238281;0.00605021
0.00232824;0.00598192
0.0022747;0.00591418
0.00222492;0.0058505
0.00217598;0.00578722
0.00212914;0.005726
0.00208547;0.00566829
0.00204241;0.00561081
0.00200219;0.00555654
0.00196247;0.00550241
0.00192429;0.00544984
0.00188854;0.00540012
0.00185316;0.00535043
0.00181999;0.00530338
0.00178711;0.0052563
0.0017554;0.00521046
0.0017256;0.00516699
0.00169601;0.00512343
0.00166819;0.00508208
0.00164052;0.00504062
0.00161376;0.00500015
0.00158854;0.0049617
0.00156343;0.00492309
0.00153976;0.00488637
0.00151616;0.00484947
0.00149327;0.00481339
0.00147165;0.00477905
0.00145008;0.0047445
0.00142969;0.0047116
0.00140932;0.00467848
0.00138952;0.00464605
0.00137079;0.00461513
0.00135205;0.00458398
0.00133431;0.00455427
0.00131655;0.00452432
0.00129925;0.00449496
0.00128286;0.00446692
0.00126644;0.00443865
0.00125085;0.00441165
0.00123523;0.0043844
0.00122;0.00435764
0.00120553;0.00433208
0.00119102;0.00430626
0.00117723;0.00428158
0.00116338;0.00425664
0.00114986;0.00423213
0.001137;0.00420869
0.00112408;0.00418499
0.00111179;0.00416232
0.00109943;0.00413939
0.00108734;0.00411683
0.00107584;0.00409523
0.00106426;0.00407338
0.00105324;0.00405245
0.00104214;0.00403127
0.00103128;0.00401042
0.00102092;0.00399044
0.00101049;0.00397021
0.00100055;0.00395081
